series_key,window_type,window_label,stat_name,value,ci_low,ci_high,p_value,skip_reason,p_value_adjusted,flag_significant
cpi,rolling_10y,2016-08 to 2026-08,ac1_trend_tau,0.23669261519040605,,,0.0005544664121604728,,0.0016050343509908425,True
cpi,rolling_10y,2016-08 to 2026-08,variance_trend_tau,0.2413212707763518,,,0.00043075521550860164,,0.001292265646525805,True
cpi,rolling_10y,2016-08 to 2026-08,critical_slowing_down_flag,1.0,,,0.0005544664121604728,,0.0016050343509908425,True
cpi,since_last_break,2024-10 to 2026-08,mean,141.70721739130434,140.4818967391304,142.89329347826083,,,,False
cpi,since_last_break,2024-10 to 2026-08,median,141.197,140.012,144.307,,,,False
cpi,since_last_break,2024-10 to 2026-08,std,2.9449256350623556,,,,,,False
cpi,since_last_break,2024-10 to 2026-08,min,136.828,,,,,,False
cpi,since_last_break,2024-10 to 2026-08,max,145.831,,,,,,False
cpi,since_last_break,2024-10 to 2026-08,latest_value,145.462,,,,,,False
cpi,since_last_break,2024-10 to 2026-08,z_score,1.275000823107761,0.9012191776426421,1.8903575527075813,0.20230895065356624,,0.35511677508338757,False
cpi,since_last_break,2024-10 to 2026-08,percentile_rank,84.78260869565217,69.56521739130434,95.70652173913012,,,,False
cpi,since_last_break,2024-10 to 2026-08,change_zscore,-0.2842793374711718,-0.8658463698185899,0.13936995803727179,0.776196319520106,,0.8893916161167882,False
cpi,since_last_break,2024-10 to 2026-08,volatility_zscore,0.37889766994699464,-0.06574294333252072,0.9473780914903398,0.7047638545411512,,0.8463019296856696,False
cpi,since_last_break,2024-10 to 2026-08,skewness,-0.00442441183252671,-0.6928029074725418,0.6888924660708612,,,,False
cpi,since_last_break,2024-10 to 2026-08,excess_kurtosis,-1.3570179022087474,-1.7342734047288588,-0.27353640991938427,,,,False
cpi,since_last_break,2024-10 to 2026-08,jarque_bera_normality,1.6938494380822822,,,0.42873137613083767,,0.6017161441881121,False
cpi,since_last_break,2024-10 to 2026-08,early_warning_skipped,,,,,Only 23 observations in this window; need at least ~84 for a stable trend estimate.,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,mean,38.934615384615384,35.776538461538465,42.03096153846154,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,median,37.05,33.0,44.5,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,std,8.213059956322848,,,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,min,27.5,,,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,max,52.6,,,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,latest_value,52.6,,,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,z_score,1.6638603258782108,1.2713642479157827,2.383341336919027,0.0961403450809375,,0.2028676354630004,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,percentile_rank,98.07692307692308,94.23076923076923,100.0,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,change_zscore,-0.09622052334607399,-0.48503930665187533,0.3568239787900278,0.9233454311682991,,0.9937714752168324,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,volatility_zscore,-0.1649782836535183,-0.6534072279385507,0.2469485760029657,0.8689610749567676,,0.962272331327964,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,skewness,0.18513295464471233,-0.4834995518248004,0.8756342246262279,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,excess_kurtosis,-1.45080017572136,-1.7508505835965906,-0.3051388268732081,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,jarque_bera_normality,2.281279019359488,,,0.3196145598407607,,0.4928635735862198,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,early_warning_skipped,,,,,Series frequency is annual (or unrecognized) — insufficient resolution for rolling autocorrelation/variance trend analysis.,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,mean,47.40909090909091,45.654545454545456,49.18227272727274,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,median,47.2,44.5,50.2,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,std,3.234951172878672,,,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,min,43.3,,,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,max,52.6,,,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,latest_value,52.6,,,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,z_score,1.6046329027865613,1.0378598627195343,3.3738851498825913,0.10857461602251917,,0.21744678440962595,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,percentile_rank,95.45454545454547,86.36363636363637,100.00000000000001,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,change_zscore,-0.02236055301485173,-0.5828693518703686,1.4220637341616045,0.9821603466117499,,0.997259464683621,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,skewness,0.33007421680317056,-0.7081554424047302,1.3449460361486232,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,excess_kurtosis,-1.138365177380358,-1.9724192833383523,1.805458640417109,,,,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,jarque_bera_normality,0.7885343124374498,,,0.6741739224237036,,0.8363811819542187,False
debt_shrfsp_broad_pct_gdp,rolling_10y,2015-12 to 2025-12,early_warning_skipped,,,,,Series frequency is annual (or unrecognized) — insufficient resolution for rolling autocorrelation/variance trend analysis.,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,mean,45.471428571428575,42.89982142857143,47.871428571428574,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,median,45.75,43.3,48.900000000000006,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,std,4.902970617811296,,,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,min,35.6,,,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,max,52.6,,,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,latest_value,52.6,,,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,z_score,1.4539290532713096,1.0352793463928143,2.4554487781577614,0.14596597691921254,,0.27683202519161,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,percentile_rank,96.42857142857143,89.28571428571429,100.0,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,change_zscore,-0.2089811804446142,-0.7659377719205132,0.4312579579816309,0.8344629300803683,,0.9366420643759237,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,volatility_zscore,-1.6502747943841374,-3.8665269304150205,-1.0119663983774607,0.0988867451538189,,0.2028676354630004,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,skewness,-0.47154211965859305,-1.3363610734552545,0.5609812064514921,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,excess_kurtosis,-0.15794957294812972,-1.5515660208184057,2.423488144101396,,,,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,jarque_bera_normality,0.5603937085142412,,,0.7556349768517105,,0.878026557609382,False
debt_shrfsp_broad_pct_gdp,since_last_break,2012-12 to 2025-12,early_warning_skipped,,,,,Series frequency is annual (or unrecognized) — insufficient resolution for rolling autocorrelation/variance trend analysis.,,False
fx_rate_fix,full_history,1991-11 to 2026-09,mean,12.758816651439014,12.649794413259478,12.868258758851074,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,median,12.08375,11.6983,12.3201,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,std,5.1711869737307845,,,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,min,3.0606,,,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,max,25.1185,,,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,latest_value,16.9707,,,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,z_score,0.814490632413219,0.7920027899055995,0.8381766919839923,0.41536393650549175,,0.5924954025398385,False
fx_rate_fix,full_history,1991-11 to 2026-09,percentile_rank,70.01484696208314,69.04379853814527,70.99132023755139,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,change_zscore,-0.02907038209703705,-0.0506026577347508,-0.007773933448445401,0.9768084574730937,,0.997259464683621,False
fx_rate_fix,full_history,1991-11 to 2026-09,volatility_zscore,-0.5660339580569116,-0.5933374431598367,-0.5399117298438085,0.5713706963450644,,0.7521857001993398,False
fx_rate_fix,full_history,1991-11 to 2026-09,skewness,-0.026879397482957205,-0.05520583206759378,0.0034231901391980077,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,excess_kurtosis,-0.805155589321112,-0.839397424671629,-0.7694914425845956,,,,False
fx_rate_fix,full_history,1991-11 to 2026-09,jarque_bera_normality,237.69900876073203,,,2.422791663643406e-52,,2.4985039031322624e-51,True
fx_rate_fix,full_history,1991-11 to 2026-09,ac1_trend_tau,-0.026397310597671003,,,0.0003226844543031567,,0.0009859802770374232,True
fx_rate_fix,full_history,1991-11 to 2026-09,variance_trend_tau,0.32246891052528737,,,0.0,,0.0,True
fx_rate_fix,full_history,1991-11 to 2026-09,critical_slowing_down_flag,0.0,,,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,mean,19.268466958250496,19.212926290258448,19.325771005964214,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,median,19.2009,19.142129999999998,19.2648,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,std,1.4522690908770037,,,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,min,16.3357,,,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,max,25.1185,,,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,latest_value,16.9707,,,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,z_score,-1.5821909126103537,-1.6383600028752476,-1.531064666256167,0.11360599427515772,,0.22315463161191698,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,percentile_rank,3.5984095427435387,2.922465208747515,4.294234592445328,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,change_zscore,-0.004407293424634618,-0.043614150484759556,0.03435665940592505,0.9964835000057803,,0.997259464683621,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,volatility_zscore,-0.9619382269965763,-1.057320649068013,-0.8845781435552197,0.3360806348140415,,0.5091122820409175,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,skewness,0.6056072745413132,0.48647321516966463,0.721237309947519,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,excess_kurtosis,1.0314967520442213,0.7053067948786034,1.348299124213424,,,,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,jarque_bera_normality,264.0905381215079,,,4.502650993116117e-58,,5.306695813315423e-57,True
fx_rate_fix,rolling_10y,2016-09 to 2026-09,ac1_trend_tau,0.35334289637609456,,,1.0156906834513538e-124,,2.3941280395639053e-123,True
fx_rate_fix,rolling_10y,2016-09 to 2026-09,variance_trend_tau,0.017461615191990774,,,0.24045570206185596,,0.40422931629522707,False
fx_rate_fix,rolling_10y,2016-09 to 2026-09,critical_slowing_down_flag,0.0,,,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,mean,18.66071881390593,18.560302147239263,18.771477975460122,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,median,18.522,18.3922,18.6353,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,std,1.1939625087364605,,,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,min,16.8748,,,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,max,20.8518,,,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,latest_value,16.9707,,,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,z_score,-1.4154705876773572,-1.507519184276706,-1.3333778090580397,0.15693056614870948,,0.2942448115288303,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,percentile_rank,2.3517382413087935,1.1247443762781186,3.785787321063381,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,change_zscore,0.03018166767511529,-0.0558777118225473,0.12172269091865567,0.9759221689469633,,0.997259464683621,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,volatility_zscore,-1.0659445202624804,-1.1567847833400768,-0.9885664463886185,0.2864487220911647,,0.45013370614325876,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,skewness,0.2761706218738119,0.1388997671034379,0.4091725663127886,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,excess_kurtosis,-1.2771662463947804,-1.3976358299553986,-1.117120626602652,,,,False
fx_rate_fix,since_last_break,2024-10 to 2026-09,jarque_bera_normality,39.3722561074254,,,2.821130759804695e-09,,1.0344146119283883e-08,True
fx_rate_fix,since_last_break,2024-10 to 2026-09,early_warning_skipped,,,,,Only 489 observations in this window; need at least ~564 for a stable trend estimate.,,False
international_reserves,full_history,1995-12 to 2026-09,mean,122085.79706616729,118625.43300405743,125764.48925093631,,,,False
international_reserves,full_history,1995-12 to 2026-09,median,125720.70000000001,104864.94875000001,147928.45,,,,False
international_reserves,full_history,1995-12 to 2026-09,std,73149.79098128797,,,,,,False
international_reserves,full_history,1995-12 to 2026-09,min,15371.1,,,,,,False
international_reserves,full_history,1995-12 to 2026-09,max,258608.8,,,,,,False
international_reserves,full_history,1995-12 to 2026-09,latest_value,258034.6,,,,,,False
international_reserves,full_history,1995-12 to 2026-09,z_score,1.8584988570727292,1.8001584205606664,1.9187953762751448,0.0630982055402094,,0.14184461785499536,False
international_reserves,full_history,1995-12 to 2026-09,percentile_rank,99.84394506866417,99.625468164794,100.0,,,,False
international_reserves,full_history,1995-12 to 2026-09,change_zscore,-0.8124347340251303,-1.0448856404540856,-0.6518349659113027,0.41654222239164396,,0.5924954025398385,False
